Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y,text,intent,tone,resolution,combo_23,combo_234
23555,65977,,support.pt@aspiegel.com,appallery problems and suggestions,description don understand the dns never working can you help me contact information submit from my mobile phone description don understand why dns is never works can you help me contact information sent from my cell phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,General,Cannot connect - Server,,,Problem/Fault,appallery problems and suggestions description don understand the dns never working can you help me contact information submit from my mobile phone description don understand why dns is never works can you help me contact information sent from my cell phone,Problem/Fault,General,Cannot connect - Server,Problem/Fault | General,Problem/Fault | General | Cannot connect - Server
23534,65883,,support.pt@aspiegel.com,appgallery problems and suggestions,description komit cannot be installed contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,,Can't install Apps,,Problem/Fault,appgallery problems and suggestions description komit cannot be installed contact information,Problem/Fault,AppGallery-Install/Upgrade,none,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | none
23477,65661,,support.pt@aspiegel.com,appgallery problems and suggestions,huawi health hi we appreciate your contact our support representatives will check your message and get back to you as soon as possible we appreciate your patience and cooperation sincerely aspiegel aspiegel se is company incorporated under the laws of ireland headquartered in dublin ireland aspiegel se is the huawei mobile services provider for huawei and honor device owners in europe huawi health ol agra emos seu contacto nossos representantes de suporte ir verificar sua mensagem entrar em contacto com voc assim que poss vel agra emos sua paci ncia colabora sinceramente equipa de suporte ao cliente aspiegel aspiegel se uma empresa constitu da de acordo com as leis da irlanda com sede em dublin irlanda aspiegel se provedor de huawei mobile services para os propriet rios de dispositivos huawei honor na europa canad austr lia zel ndia outros pa ses,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,appgallery problems and suggestions huawi health hi we appreciate your contact our support representatives will check your message and get back to you as soon as possible we appreciate your patience and cooperation sincerely aspiegel aspiegel se is company incorporated under the laws of ireland headquartered in dublin ireland aspiegel se is the huawei mobile services provider for huawei and honor device owners in europe huawi health ol agra emos seu contacto nossos representantes de suporte ir verificar sua mensagem entrar em contacto com voc assim que poss vel agra emos sua paci ncia colabora sinceramente equipa de suporte ao cliente aspiegel aspiegel se uma empresa constitu da de acordo com as leis da irlanda com sede em dublin irlanda aspiegel se provedor de huawei mobile services para os propriet rios de dispositivos huawei honor na europa canad austr lia zel ndia outros pa ses,Others,none,none,Others | none,Others | none | none
23452,65616,,support.pt@aspiegel.com,appallery problems and suggestions,description can install contact information description you can not install contact information sent from my huawei mobile phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,appallery problems and suggestions description can install contact information description you can not install contact information sent from my huawei mobile phone,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Can't install Apps
23429,65569,,support.pt@aspiegel.com,appallery problems and suggestions,description does not install contact information description does not install contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,appallery problems and suggestions description does not install contact information description does not install contact information,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Can't install Apps
23395,65482,,support.pt@aspiegel.com,appgallery problems and solutions,description in the area where am there is no connection fastweb devices and we have difficulties with calls no connection to the internet contact information sent from my huawei tabletdescrizione nella zona in cui mi trovo non connessione dispositivi fastweb ed abbiamo difficolt con le chiamate nessuna connessione ad internet informazioni di contatto inviato dal mio tablet huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,appgallery problems and solutions description in the area where am there is no connection fastweb devices and we have difficulties with calls no connection to the internet contact information sent from my huawei tabletdescrizione nella zona in cui mi trovo non connessione dispositivi fastweb ed abbiamo difficolt con le chiamate nessuna connessione ad internet informazioni di contatto inviato dal mio tablet huawei,Others,none,none,Others | none,Others | none | none
23230,65024,,support.pt@aspiegel.com,appgallery problems and suggestions,description what up contact info sent from my phone huawei signat what up information sent from my phone huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,appgallery problems and suggestions description what up contact info sent from my phone huawei signat what up information sent from my phone huawei,Others,none,none,Others | none,Others | none | none
23229,65022,,support.pt@aspiegel.com,appgallery problems and suggestions,description what up contact information sent from my phone huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,appgallery problems and suggestions description what up contact information sent from my phone huawei,Others,none,none,Others | none,Others | none | none
23212,64982,,support.pt@aspiegel.com,appgallery problems and suggestions,ok description what up information contact sent from my phone huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,appgallery problems and suggestions ok description what up information contact sent from my phone huawei,Others,none,none,Others | none,Others | none | none
23194,64946,,support.pt@aspiegel.com,appgallery problems and suggestions,description installation error contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,appgallery problems and suggestions description installation error contact information,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Other download/install/update issue
23193,64944,,support.pt@aspiegel.com,appgallery problems and suggestions,description installation error contact information per,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,appgallery problems and suggestions description installation error contact information per,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Other download/install/update issue
23189,64938,,support.pt@aspiegel.com,appgallery problems and suggestions,description beg you to drive them contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,appgallery problems and suggestions description beg you to drive them contact information,Suggestion,General,Personal data,Suggestion | General,Suggestion | General | Personal data
23188,64936,,support.pt@aspiegel.com,appgallery problems and suggestions,description contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,appgallery problems and suggestions description contact information,Suggestion,General,Personal data,Suggestion | General,Suggestion | General | Personal data
23056,64550,44805.93403,support.pt@aspiegel.com,appgallery problems and suggestions,description my phone data and privacy is insecure all apps and accounts are copied and shared by third parties without my consent wish to report that everything used here is still not private as we speak m scared and frustrated about this issue contact information,AppGallery &amp; Games / Report a scam or fraud ,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,appgallery problems and suggestions description my phone data and privacy is insecure all apps and accounts are copied and shared by third parties without my consent wish to report that everything used here is still not private as we speak m scared and frustrated about this issue contact information,Suggestion,General,Personal data,Suggestion | General,Suggestion | General | Personal data
23055,64549,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,description inability to install contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,appgallery problemy i sugestie description inability to install contact information,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Other download/install/update issue
23054,64548,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,description no installation possible contact information opis brak mo liwo ci instalacji informacje kontaktowe,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,appgallery problemy i sugestie description no installation possible contact information opis brak mo liwo ci instalacji informacje kontaktowe,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Other download/install/update issue
23052,64544,44805.88819,support.pt@aspiegel.com,appgallery problems and suggestions,description does not load contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,General,AppGallery not loading,,,Problem/Fault,appgallery problems and suggestions description does not load contact information,Problem/Fault,General,AppGallery not loading,Problem/Fault | General,Problem/Fault | General | AppGallery not loading
23050,64542,44805.87361,support.eu@aspiegel.com,od: full refund from first day,already sent to them mail twice with reminder two weeks ago but they never replied they fixed bug after was impacted and they want to shut it down to be silence as we see kindly asking to make refund because of this situation for your support to making it possible kind regards client od full refund from first day we appreciate you patience our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund you can provide that proof to us you should be able to contact the customer support of the game on https aihelp net privacypolicy or customer service if you have further game issue you also can directly contact our dedicated game operation staff through discord channel here is the discord link poland https discord gg tkyzc cagu that serves your country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely ramon od full refund from first day thanks you for feedback perfectly understand this but what in case when the products is not as advertised and not functioning there is perfect example of it all because last big issue on devs side for positive feedback in this situation kind regards wys ano telefonu wiadomo od data wt sie do temat full refund from first day we have carefully review your request and unfortunately we have concluded that you are not quality for refund this time accordingly to the walking dead user agreement the refund of the payments can be provided once the items are successfully delivered to the gamer account please be aware that he purchase date back to therefore you have used the items purchased and there is no way of recollecting them for understanding sincerely ramon full refund from first day hope youre well accordingly to twd survivors where bought products is not as advertised and not functioning im asking for full refund since first day there is no fair and bugged competition which affects the gampley example last rzt vs match regarding to all isues kindly requesting for full refund in the first line below transactions ad db pln pw bf pln ad pln ad dc ed pln ad pln ad bc pln ad dc pln ad dcdac pln ad edc pln pw fcb pln ad pln ad dbd pln pw pln pw pln pw a pln c pln bda pln pw pln pw b pln ad ff pln ad bd cff pln be pln ad pln ad cb pln ad pln ad b pln thanks all of you for great cooperation wys ano telefonu huawei,AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,od: full refund from first day already sent to them mail twice with reminder two weeks ago but they never replied they fixed bug after was impacted and they want to shut it down to be silence as we see kindly asking to make refund because of this situation for your support to making it possible kind regards client od full refund from first day we appreciate you patience our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund you can provide that proof to us you should be able to contact the customer support of the game on https aihelp net privacypolicy or customer service if you have further game issue you also can directly contact our dedicated game operation staff through discord channel here is the discord link poland https discord gg tkyzc cagu that serves your country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely ramon od full refund from first day thanks you for feedback perfectly understand this but what in case when the products is not as advertised and not functioning there is perfect example of it all because last big issue on devs side for positive feedback in this situation kind regards wys ano telefonu wiadomo od data wt sie do temat full refund from first day we have carefully review your request and unfortunately we have concluded that you are not quality for refund this time accordingly to the walking dead user agreement the refund of the payments can be provided once the items are successfully delivered to the gamer account please be aware that he purchase date back to therefore you have used the items purchased and there is no way of recollecting them for understanding sincerely ramon full refund from first day hope youre well accordingly to twd survivors where bought products is not as advertised and not functioning im asking for full refund since first day there is no fair and bugged competition which affects the gampley example last rzt vs match regarding to all isues kindly requesting for full refund in the first line below transactions ad db pln pw bf pln ad pln ad dc ed pln ad pln ad bc pln ad dc pln ad dcdac pln ad edc pln pw fcb pln ad pln ad dbd pln pw pln pw pln pw a pln c pln bda pln pw pln pw b pln ad ff pln ad bd cff pln be pln ad pln ad cb pln ad pln ad b pln thanks all of you for great cooperation wys ano telefonu huawei,Problem/Fault,Third Party APPs,Refund,Problem/Fault | Third Party APPs,Problem/Fault | Third Party APPs | Refund
23049,64540,44805.85139,support.pt@aspiegel.com,appgallers problems and recommendations,description failed to install update mi vydeoplayer contact information opis zlyhava in talacia aktualiz cie mi vydeoplayer kontaktn inform cie,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault,appgallers problems and recommendations description failed to install update mi vydeoplayer contact information opis zlyhava in talacia aktualiz cie mi vydeoplayer kontaktn inform cie,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Can't update Apps
23047,64532,44805.83333,support.eu@aspiegel.com,unreceived huawei points,it is ok don request anything you close the ticket thanks nderildi eyl per embe kime konu ynt unreceived we hope you re doing well this email is in regards to your concern about your campaign cashback to create better game experience we built discord channel to update you the latest game campaign discount activities and also provide you direct services we recommend you to use our discord channel we recommend you contact us via discord channel https discord gg tkyzc cagu from your computer desktop directly if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon prize you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin unreceived again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,unreceived huawei points it is ok don request anything you close the ticket thanks nderildi eyl per embe kime konu ynt unreceived we hope you re doing well this email is in regards to your concern about your campaign cashback to create better game experience we built discord channel to update you the latest game campaign discount activities and also provide you direct services we recommend you to use our discord channel we recommend you contact us via discord channel https discord gg tkyzc cagu from your computer desktop directly if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon prize you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin unreceived again here is the information you requested my huawei id your service country turkey the name of the game app world of tanks blitz the name of the campaign you participated in app gallery game festival campaign cashback how many huawei points coupon was meant to receive about tl my discord account contact information icebreaker nderildi eyl per embe kime konu unreceived we hope you re doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallery campaign click any valid campaign on the list find discord icon in the page click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation your huawei id your service country appgallery me settings country the name of the game app the name of the campaign you participated in outline how many huawei points coupon you were meant to receive your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely unreceived have recently made an in game purchase world of tanks blitz but haven received because of that purchase my huawei account has the the same mail with this one please transfer the relevant amount of huawei points into my account best regards,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,Problem/Fault | Coupon/Gifts/Points Issues,Problem/Fault | Coupon/Gifts/Points Issues | Can't use or acquire
23046,64531,44805.83194,support.eu@aspiegel.com,,product appgallery games requests other requests contact full name miguel losada seoane phone numbe contact email address huawei id account sum of the issue they sent me huawei scale because won raffle but after more than week do not receive it and do not know who have to put me in greeting home news events products partners support copyright aspiegel,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,product appgallery games requests other requests contact full name miguel losada seoane phone numbe contact email address huawei id account sum of the issue they sent me huawei scale because won raffle but after more than week do not receive it and do not know who have to put me in greeting home news events products partners support copyright aspiegel,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,Problem/Fault | Coupon/Gifts/Points Issues,Problem/Fault | Coupon/Gifts/Points Issues | Can't use or acquire
